Cardholder Name,Card Number,Card Type,Card Expiry Date,Transaction Amount,Currency,Transaction Date and Time,Merchant Name,Merchant ID,Authorization Code,Authorization Response,Terminal ID,POS Entry Mode,Transaction Type,CVV/CVC,AVS Data,Customer Signature,Transaction Status,Fraud
Michael Howell,3525145677277322,Diners Club / Carte Blanche,11/31,886.18,THB,03/09/2024 00:56,Hall and Sons,8e4d554f-0081-463e-a38e-7b7dca25a03e,57a6df6d-ba68-418e-b225-d3abfb3442b0,Declined,6d42dafa-fd19-4f70-a6e9-95faab423ed9,Chip,Purchase,897,Not Matched,Not Required,Settled,False
Mackenzie May,30319162538886,VISA 19 digit,02/33,409.35,ERN,03/14/2024 16:06,Joyce-Cisneros,12d8bc71-b724-43ff-9d15-30a24465e7f2,d264c5f3-e201-47b8-8732-277c97c5c0a8,Declined,c75a14e8-e316-44e6-8f6e-5bb4b703aa85,Chip,Purchase,4746,Matched,Required,Pending Settlement,False
Erik Chandler,3594077140899620,VISA 19 digit,06/25,72.72,MZN,03/09/2024 16:30,"Little, Santos and Sparks",80a3d19e-6fe1-4bdb-8132-f584b462eb07,0fa52c02-a500-49cd-abef-1e7ebabc949c,Approved,0c4598df-f52d-43eb-9823-67b4635e6dfa,Swipe,Refund,159,Not Matched,Not Required,Pending Settlement,False
Gina Ponce,30008583528812,VISA 19 digit,01/30,939.22,ERN,03/25/2024 01:13,Russell-Kelly,7b98fa6b-cc43-4ade-be75-860d12932740,bae36a0a-f09e-4698-aaa0-9507a7ce4ac2,Approved,06600006-9011-45be-acaa-b940524b123a,Swipe,Purchase,5425,Not Matched,Not Required,Pending Settlement,False
Samuel Willis,6011906560885917,VISA 16 digit,09/25,206.6,INR,03/13/2024 19:49,Santos and Sons,55526da3-b606-44c2-a919-85d2a60416dc,504fff93-4200-4b0e-a37d-d087b489a033,Approved,5c758919-e433-4599-86b9-7805c8e0f2be,Swipe,Purchase,050,Matched,Required,Pending Settlement,False
Rick Taylor,378957111894544,JCB 16 digit,11/32,101.65,WST,03/26/2024 05:35,"Miller, Burnett and Padilla",e676ac39-07ec-4fe8-bce5-f8cee3d73b48,8344fe91-4df7-4465-904b-6bf6319c648e,Approved,3ef6a18b-2ae8-47c4-86de-1d90f8e31094,Chip,Refund,718,Not Matched,Not Required,Pending Settlement,True
Rose Beasley,060488592183,JCB 16 digit,11/24,361.66,KPW,03/29/2024 11:53,Hall Inc,ff5d47c2-fda9-4295-8a4d-dff02b6ae53c,73e9ac35-f246-4e56-880b-d46721aff767,Declined,f03d47b2-e4fb-4cf3-a1a7-59a4fdab9590,Chip,Refund,421,Not Matched,Not Required,Pending Settlement,False
Jason Sanchez,4805549103198919233,VISA 19 digit,03/26,334.69,XAF,03/19/2024 11:08,Walker-Jones,a3877b65-2d54-469c-ac22-8358c171c08d,e46afc10-a0d4-47f4-8b75-b85e0d3c3732,Declined,7c839995-183e-485e-8f65-2ef6c8d82623,Chip,Purchase,171,Not Matched,Required,Settled,True
Ashley Graham,6579132181293902,VISA 13 digit,12/29,232.76,SCR,03/23/2024 19:47,Cook-White,1f229624-5f8f-40d7-a988-9a3de0f2a5e3,bf9eb1d3-60ff-476b-aa47-4e10cc9d25d4,Declined,8c284805-7221-4aea-a652-37811fc8cc28,Swipe,Refund,802,Not Matched,Not Required,Settled,True
Phillip Walton,3593555745882886,VISA 19 digit,08/29,581.44,NIO,03/24/2024 11:11,Howard PLC,57582199-5c2f-4297-b2b3-dca7eb10a3b9,017a4ef9-4db1-477c-a486-6695d45f208d,Declined,49772f9a-6984-4b8b-bf5c-dd77e92973b6,Swipe,Refund,912,Not Matched,Not Required,Pending Settlement,True
Elizabeth Hill,180057393336724,VISA 19 digit,03/30,274.55,YER,03/07/2024 03:56,Black-Davis,593e4274-eebb-4ec6-a985-7bcd85c5d1ac,6e30bb1d-38e2-46cd-b6ad-9ee90efdf564,Declined,3a7d64b4-debf-430a-9c32-bc25f17ccc4a,Chip,Refund,681,Not Matched,Required,Pending Settlement,False
Melissa Martin,180037740794296,Maestro,07/33,729.24,NZD,03/18/2024 11:44,Carter Ltd,e933b183-6840-4578-b99f-adb5ece13654,2b539225-17e4-473e-a35e-20e65a372b87,Approved,264bd1da-582b-44bd-a7c1-cc72db6218c9,Chip,Refund,641,Matched,Required,Settled,False
Michael Caldwell,6011190476670560,VISA 16 digit,03/26,383.27,BIF,03/24/2024 00:27,Moyer-Woods,eeb4a51d-2104-41b0-bfa5-53e1a68c6768,078765be-07b2-47ca-bd18-8b4f720f5962,Approved,7bf79a1e-dc20-4da5-96a1-54ba3f433c44,Chip,Purchase,635,Not Matched,Required,Settled,True
Mr. Nicholas Scott,344708879003666,VISA 16 digit,04/29,665.18,IDR,03/26/2024 23:01,Smith Group,cc3c6953-164a-44b5-952f-68de0879ad7c,ca4f7f8a-c0d7-418e-a54d-dbdc1a68bd2e,Approved,47653a85-4a5c-4285-8cc9-16e17ff746a3,Chip,Purchase,401,Matched,Required,Settled,False
Tracy Perez,4039963435132887,American Express,12/30,418.24,PYG,03/07/2024 06:52,Martinez Ltd,d731c6f1-7c20-4011-af9a-77387540e658,9f113515-fabb-42d9-9b8f-8bc14b1a5ed8,Approved,72828a21-b350-43bf-ad8b-9352b890d7fe,Swipe,Refund,763,Matched,Not Required,Pending Settlement,False
Jason Brown,213166957888730,JCB 16 digit,06/27,299.21,ALL,03/27/2024 12:04,Jones Ltd,b4a299dd-b9c4-47a5-927f-c8fd22bfb225,415e262e-d0a1-4318-ba55-878cad444b97,Approved,e281457d-c955-46d8-9d95-3776b1894ed2,Chip,Refund,209,Not Matched,Not Required,Pending Settlement,True
Emily Moon,376154061426046,JCB 16 digit,04/28,135.98,MZN,04/02/2024 14:18,"Mcknight, Vargas and Parsons",4d66914d-f5ce-4b2c-afc8-1eb0e507a70a,c00f3685-0f4c-4307-8fbc-368c93d7a16b,Approved,0955abda-82b5-49c7-b5ee-e8ceec7b6a0d,Swipe,Purchase,113,Matched,Required,Pending Settlement,True
Kenneth Liu,676283244595,JCB 16 digit,07/30,884.01,YER,04/02/2024 12:47,Thompson PLC,764f5394-0535-4aec-8ebd-2f0fdb530e54,88040df8-375b-46f6-b1ba-f5ee880045ea,Approved,0edbbd6a-8890-4968-9b11-f0a0f6952c90,Swipe,Purchase,007,Not Matched,Not Required,Pending Settlement,True
